Ticker: r
Buy: 1985.03.19 100 shares @ 11.1111111, total shares = 100, cash = -1119.1111111
Buy: 2008.07.15 100 shares @ 64.0000000, total shares = 300, cash = 37809.6666667
Buy: 2008.07.24 100 shares @ 67.1400000, total shares = 400, cash = 31087.6666667
Buy: 2008.07.25 100 shares @ 64.2600000, total shares = 500, cash = 24653.6666667
Buy: 2008.07.31 100 shares @ 66.2700000, total shares = 600, cash = 18018.6666667
Sell: 2008.08.15 100 shares @ 71.3900000, total shares = 500, cash = 25149.6666667
Buy: 2008.08.19 100 shares @ 67.7000000, total shares = 600, cash = 18371.6666667
Buy: 2008.08.26 100 shares @ 64.4700000, total shares = 700, cash = 11916.6666667
Sell: 2008.09.18 100 shares @ 68.4050000, total shares = 600, cash = 18749.1666667
Buy: 2008.09.23 100 shares @ 64.1500000, total shares = 700, cash = 12326.1666667
Buy: 2008.09.24 100 shares @ 61.7600000, total shares = 800, cash = 6142.1666667
Buy: 2008.09.30 100 shares @ 59.8900000, total shares = 900, cash = 145.1666667
Buy: 2008.10.02 100 shares @ 57.8000000, total shares = 1000, cash = -5642.8333333
Buy: 2008.10.03 100 shares @ 55.2200000, total shares = 1100, cash = -11172.8333333
Buy: 2008.10.08 100 shares @ 49.0100000, total shares = 1200, cash = -16081.8333333
Buy: 2008.10.10 100 shares @ 43.8000000, total shares = 1300, cash = -20469.8333333
Buy: 2008.10.14 100 shares @ 54.6400000, total shares = 1400, cash = -25941.8333333
Buy: 2008.10.15 100 shares @ 46.8300000, total shares = 1500, cash = -30632.8333333
Buy: 2008.10.16 100 shares @ 44.6100000, total shares = 1600, cash = -35101.8333333
Buy: 2008.10.20 100 shares @ 44.6200000, total shares = 1700, cash = -39571.8333333
Buy: 2008.10.22 100 shares @ 42.2600000, total shares = 1800, cash = -43805.8333333
Buy: 2008.10.23 100 shares @ 38.0100000, total shares = 1900, cash = -47614.8333333
Buy: 2008.10.31 100 shares @ 37.2800000, total shares = 2000, cash = -51350.8333333
Buy: 2008.11.12 100 shares @ 36.3500000, total shares = 2100, cash = -54993.8333333
Buy: 2008.11.18 100 shares @ 35.2400000, total shares = 2200, cash = -58525.8333333
Buy: 2008.11.19 100 shares @ 33.5200000, total shares = 2300, cash = -61885.8333333
Buy: 2008.11.20 100 shares @ 30.0400000, total shares = 2400, cash = -64897.8333333
Buy: 2008.11.21 100 shares @ 28.8200000, total shares = 2500, cash = -67787.8333333
Buy: 2008.11.26 100 shares @ 32.7900000, total shares = 2600, cash = -71074.8333333
Buy: 2008.12.02 100 shares @ 34.0200000, total shares = 2700, cash = -74484.8333333
Buy: 2008.12.10 100 shares @ 35.2700000, total shares = 2800, cash = -78019.8333333
Buy: 2008.12.12 100 shares @ 31.0500000, total shares = 2900, cash = -81132.8333333
Buy: 2008.12.16 100 shares @ 32.9700000, total shares = 3000, cash = -84437.8333333
Buy: 2008.12.23 100 shares @ 35.1700000, total shares = 3100, cash = -87962.8333333
Sell: 2009.01.02 100 shares @ 39.9750000, total shares = 3000, cash = -83973.3333333
Sell: 2009.01.06 100 shares @ 40.6600000, total shares = 2900, cash = -79915.3333333
Buy: 2009.01.15 100 shares @ 34.1400000, total shares = 3000, cash = -83337.3333333
Buy: 2009.01.20 100 shares @ 34.5200000, total shares = 3100, cash = -86797.3333333
Buy: 2009.01.21 100 shares @ 32.6400000, total shares = 3200, cash = -90069.3333333
Buy: 2009.01.30 100 shares @ 35.7300000, total shares = 3300, cash = -93650.3333333
Buy: 2009.02.02 100 shares @ 33.2800000, total shares = 3400, cash = -96986.3333333
Buy: 2009.02.05 100 shares @ 30.0100000, total shares = 3500, cash = -99995.3333333
Buy: 2009.02.11 100 shares @ 31.2300000, total shares = 3600, cash = -103126.3333333
Buy: 2009.02.18 100 shares @ 28.2200000, total shares = 3700, cash = -105956.3333333
Buy: 2009.02.19 100 shares @ 27.2300000, total shares = 3800, cash = -108687.3333333
Buy: 2009.02.20 100 shares @ 25.0600000, total shares = 3900, cash = -111201.3333333
Buy: 2009.02.24 100 shares @ 25.2800000, total shares = 4000, cash = -113737.3333333
Buy: 2009.02.26 100 shares @ 24.8300000, total shares = 4100, cash = -116228.3333333
Buy: 2009.02.27 100 shares @ 22.7000000, total shares = 4200, cash = -118506.3333333
Buy: 2009.03.03 100 shares @ 21.2600000, total shares = 4300, cash = -120640.3333333
Buy: 2009.03.06 100 shares @ 20.5500000, total shares = 4400, cash = -122703.3333333
Buy: 2009.03.09 100 shares @ 19.2300000, total shares = 4500, cash = -124634.3333333
Buy: 2009.03.23 100 shares @ 25.8200000, total shares = 4600, cash = -127224.3333333
Buy: 2009.03.31 100 shares @ 27.2000000, total shares = 4700, cash = -129952.3333333
Sell: 2009.04.02 100 shares @ 30.9100000, total shares = 4600, cash = -126869.3333333
Buy: 2009.04.09 100 shares @ 25.0000000, total shares = 4700, cash = -129377.3333333
Buy: 2009.04.14 100 shares @ 24.1500000, total shares = 4800, cash = -131800.3333333
Buy: 2009.04.21 100 shares @ 23.8300000, total shares = 4900, cash = -134191.3333333
Sell: 2009.04.30 100 shares @ 27.1550000, total shares = 4800, cash = -131483.8333333
Sell: 2009.05.06 100 shares @ 30.3500000, total shares = 4700, cash = -128456.8333333
Sell: 2009.05.08 100 shares @ 30.0550000, total shares = 4600, cash = -125459.3333333
Buy: 2009.05.14 100 shares @ 25.2600000, total shares = 4700, cash = -127993.3333333
Sell: 2009.05.18 100 shares @ 26.6350000, total shares = 4600, cash = -125337.8333333
Sell: 2009.06.01 100 shares @ 29.1550000, total shares = 4500, cash = -122430.3333333
Sell: 2009.06.04 100 shares @ 29.5200000, total shares = 4400, cash = -119486.3333333
Sell: 2009.06.10 100 shares @ 30.3650000, total shares = 4300, cash = -116457.8333333
Sell: 2009.06.19 100 shares @ 29.3350000, total shares = 4200, cash = -113532.3333333
Buy: 2009.06.23 100 shares @ 27.3700000, total shares = 4300, cash = -116277.3333333
Buy: 2009.07.06 100 shares @ 26.3200000, total shares = 4400, cash = -118917.3333333
Buy: 2009.07.08 100 shares @ 24.9400000, total shares = 4500, cash = -121419.3333333
Buy: 2009.07.22 100 shares @ 26.9900000, total shares = 4600, cash = -124126.3333333
Sell: 2009.07.23 100 shares @ 29.5200000, total shares = 4500, cash = -121182.3333333
Sell: 2009.07.30 100 shares @ 34.2250000, total shares = 4400, cash = -117767.8333333
Sell: 2009.08.03 100 shares @ 36.0700000, total shares = 4300, cash = -114168.8333333
Sell: 2009.08.07 100 shares @ 38.0450000, total shares = 4200, cash = -110372.3333333
Sell: 2009.08.21 100 shares @ 39.5500000, total shares = 4100, cash = -106425.3333333
Sell: 2009.08.25 100 shares @ 40.1100000, total shares = 4000, cash = -102422.3333333
Sell: 2009.08.28 100 shares @ 39.3700000, total shares = 3900, cash = -98493.3333333
Buy: 2009.10.02 100 shares @ 36.8500000, total shares = 4000, cash = -102186.3333333
Sell: 2009.10.14 100 shares @ 43.2250000, total shares = 3900, cash = -97871.8333333
Buy: 2009.11.02 100 shares @ 40.7700000, total shares = 4000, cash = -101956.8333333
Sell: 2009.11.05 100 shares @ 42.0600000, total shares = 3900, cash = -97758.8333333
Sell: 2009.11.11 100 shares @ 44.3550000, total shares = 3800, cash = -93331.3333333
Sell: 2009.11.23 100 shares @ 41.9400000, total shares = 3700, cash = -89145.3333333
Sell: 2009.12.04 100 shares @ 42.0950000, total shares = 3600, cash = -84943.8333333
Buy: 2010.01.13 100 shares @ 39.3400000, total shares = 3700, cash = -88885.8333333
Buy: 2010.02.05 100 shares @ 32.4500000, total shares = 3800, cash = -92138.8333333
Sell: 2010.04.21 100 shares @ 45.0000000, total shares = 3700, cash = -87646.8333333
Sell: 2010.05.10 100 shares @ 44.7450000, total shares = 3600, cash = -83180.3333333
Sell: 2010.05.18 100 shares @ 45.6500000, total shares = 3500, cash = -78623.3333333
Buy: 2010.05.21 100 shares @ 41.3800000, total shares = 3600, cash = -82769.3333333
Sell: 2010.05.26 100 shares @ 44.2000000, total shares = 3500, cash = -78357.3333333
Sell: 2010.05.27 100 shares @ 45.1950000, total shares = 3400, cash = -73845.8333333
Buy: 2010.06.07 100 shares @ 41.7700000, total shares = 3500, cash = -78030.8333333
Buy: 2010.06.08 100 shares @ 40.4100000, total shares = 3600, cash = -82079.8333333
Sell: 2010.06.14 100 shares @ 44.2500000, total shares = 3500, cash = -77662.8333333
Sell: 2010.06.15 100 shares @ 45.0000000, total shares = 3400, cash = -73170.8333333
Buy: 2010.06.22 100 shares @ 44.1700000, total shares = 3500, cash = -77595.8333333
Buy: 2010.06.23 100 shares @ 42.0900000, total shares = 3600, cash = -81812.8333333
Buy: 2010.07.06 100 shares @ 39.4700000, total shares = 3700, cash = -85767.8333333
Sell: 2010.07.23 100 shares @ 43.9150000, total shares = 3600, cash = -81384.3333333
Sell: 2010.08.02 100 shares @ 44.2150000, total shares = 3500, cash = -76970.8333333
Sell: 2010.09.09 100 shares @ 41.5450000, total shares = 3400, cash = -72824.3333333
Sell: 2010.09.13 100 shares @ 42.2050000, total shares = 3300, cash = -68611.8333333
Sell: 2010.09.24 100 shares @ 43.0400000, total shares = 3200, cash = -64315.8333333
Sell: 2010.10.05 100 shares @ 42.8750000, total shares = 3100, cash = -60036.3333333
Sell: 2010.10.15 100 shares @ 45.7250000, total shares = 3000, cash = -55471.8333333
Sell: 2010.11.02 100 shares @ 44.4300000, total shares = 2900, cash = -51036.8333333
Sell: 2010.11.04 100 shares @ 45.2350000, total shares = 2800, cash = -46521.3333333
Sell: 2010.12.01 100 shares @ 44.3150000, total shares = 2700, cash = -42097.8333333
Sell: 2010.12.07 100 shares @ 45.8700000, total shares = 2600, cash = -37518.8333333
Sell: 2010.12.15 100 shares @ 48.5200000, total shares = 2500, cash = -32674.8333333
Buy: 2011.01.31 100 shares @ 47.8700000, total shares = 2600, cash = -37469.8333333
Sell: 2011.02.18 100 shares @ 49.7750000, total shares = 2500, cash = -32500.3333333
Buy: 2011.03.02 100 shares @ 46.5200000, total shares = 2600, cash = -37160.3333333
Sell: 2011.04.05 100 shares @ 51.3000000, total shares = 2500, cash = -32038.3333333
Sell: 2011.04.20 100 shares @ 50.5900000, total shares = 2400, cash = -26987.3333333
Sell: 2011.04.26 100 shares @ 52.2450000, total shares = 2300, cash = -21770.8333333
Sell: 2011.05.06 100 shares @ 52.9550000, total shares = 2200, cash = -16483.3333333
Sell: 2011.05.31 100 shares @ 55.0800000, total shares = 2100, cash = -10983.3333333
Sell: 2011.07.21 100 shares @ 58.8350000, total shares = 2000, cash = -5107.8333333
Sell: 2011.07.27 100 shares @ 58.8700000, total shares = 1900, cash = 771.1666667
Sell: 2011.07.28 100 shares @ 58.3850000, total shares = 1800, cash = 6601.6666667
Sell: 2011.08.01 100 shares @ 56.5100000, total shares = 1700, cash = 12244.6666667
Buy: 2011.08.03 100 shares @ 52.7200000, total shares = 1800, cash = 6964.6666667
Buy: 2011.08.05 100 shares @ 49.7400000, total shares = 1900, cash = 1982.6666667
Buy: 2011.08.09 100 shares @ 43.3600000, total shares = 2000, cash = -2361.3333333
Buy: 2011.08.19 100 shares @ 41.5000000, total shares = 2100, cash = -6519.3333333
Buy: 2011.08.23 100 shares @ 40.5100000, total shares = 2200, cash = -10578.3333333
Buy: 2011.09.21 100 shares @ 43.2700000, total shares = 2300, cash = -14913.3333333
Buy: 2011.09.22 100 shares @ 39.5400000, total shares = 2400, cash = -18875.3333333
Buy: 2011.09.29 100 shares @ 39.4600000, total shares = 2500, cash = -22829.3333333
Buy: 2011.10.04 100 shares @ 34.6500000, total shares = 2600, cash = -26302.3333333
Sell: 2011.10.14 100 shares @ 44.6450000, total shares = 2500, cash = -21845.8333333
Sell: 2011.10.21 100 shares @ 46.8300000, total shares = 2400, cash = -17170.8333333
Sell: 2011.10.24 100 shares @ 47.9350000, total shares = 2300, cash = -12385.3333333
Sell: 2011.10.26 100 shares @ 48.2700000, total shares = 2200, cash = -7566.3333333
Sell: 2011.10.27 100 shares @ 51.0550000, total shares = 2100, cash = -2468.8333333
Sell: 2011.11.02 100 shares @ 50.3650000, total shares = 2000, cash = 2559.6666667
Sell: 2011.11.03 100 shares @ 51.1850000, total shares = 1900, cash = 7670.1666667
Sell: 2011.11.10 100 shares @ 50.2750000, total shares = 1800, cash = 12689.6666667
Sell: 2011.11.11 100 shares @ 52.0950000, total shares = 1700, cash = 17891.1666667
Sell: 2011.11.18 100 shares @ 51.4750000, total shares = 1600, cash = 23030.6666667
Sell: 2011.11.28 100 shares @ 48.5250000, total shares = 1500, cash = 27875.1666667
Sell: 2011.11.30 100 shares @ 51.8150000, total shares = 1400, cash = 33048.6666667
Sell: 2011.12.02 100 shares @ 52.8200000, total shares = 1300, cash = 38322.6666667
Sell: 2011.12.05 100 shares @ 53.6900000, total shares = 1200, cash = 43683.6666667
Sell: 2011.12.15 100 shares @ 50.4850000, total shares = 1100, cash = 48724.1666667
Sell: 2011.12.16 100 shares @ 51.3000000, total shares = 1000, cash = 53846.1666667
Sell: 2011.12.19 100 shares @ 50.4950000, total shares = 900, cash = 58887.6666667
Sell: 2011.12.20 100 shares @ 51.3800000, total shares = 800, cash = 64017.6666667
Sell: 2012.01.03 100 shares @ 54.5200000, total shares = 700, cash = 69461.6666667
Sell: 2012.01.10 100 shares @ 55.8900000, total shares = 600, cash = 75042.6666667
Sell: 2012.01.12 100 shares @ 56.2950000, total shares = 500, cash = 80664.1666667
Sell: 2012.02.01 100 shares @ 56.9150000, total shares = 400, cash = 86347.6666667
Sell: 2012.03.26 100 shares @ 54.3150000, total shares = 300, cash = 91771.1666667
Buy: 2012.04.11 100 shares @ 50.7200000, total shares = 400, cash = 86691.1666667
Buy: 2012.04.25 100 shares @ 49.2500000, total shares = 500, cash = 81758.1666667
Buy: 2012.05.18 100 shares @ 42.1700000, total shares = 600, cash = 77533.1666667
Buy: 2012.06.12 100 shares @ 41.9600000, total shares = 700, cash = 73329.1666667
Buy: 2012.06.22 100 shares @ 36.0200000, total shares = 800, cash = 69719.1666667
Buy: 2012.07.25 100 shares @ 37.0000000, total shares = 900, cash = 66011.1666667
Sell: 2012.08.03 100 shares @ 39.2050000, total shares = 800, cash = 69923.6666667
Buy: 2012.09.26 100 shares @ 39.0700000, total shares = 900, cash = 66008.6666667
Sell: 2012.10.23 100 shares @ 45.5200000, total shares = 800, cash = 70552.6666667
Sell: 2012.10.24 100 shares @ 45.4800000, total shares = 700, cash = 75092.6666667
Sell: 2012.10.25 100 shares @ 44.7750000, total shares = 600, cash = 79562.1666667
Sell: 2012.11.06 100 shares @ 46.6600000, total shares = 500, cash = 84220.1666667
Sell: 2012.11.19 100 shares @ 45.0900000, total shares = 400, cash = 88721.1666667
Sell: 2012.11.27 100 shares @ 46.6500000, total shares = 300, cash = 93378.1666667
Sell: 2012.12.03 100 shares @ 47.4900000, total shares = 200, cash = 98119.1666667
Sell: 2012.12.18 100 shares @ 50.1400000, total shares = 100, cash = 103125.1666667
Sell: 2013.01.02 100 shares @ 51.0450000, total shares = 0, cash = 108221.6666667
Buy: 2013.04.16 100 shares @ 57.4000000, total shares = 100, cash = 102473.6666667
Buy: 2013.04.24 100 shares @ 55.0100000, total shares = 200, cash = 96964.6666667
Sell: 2013.05.17 100 shares @ 62.1600000, total shares = 100, cash = 103172.6666667
Sell: 2013.05.28 100 shares @ 63.7100000, total shares = 0, cash = 109535.6666667
Buy: 2014.02.04 100 shares @ 68.7900000, total shares = 100, cash = 102648.6666667
Sell: 2014.03.04 100 shares @ 75.8250000, total shares = 0, cash = 110223.1666667
